tmdb_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,genres,imdb,rt,meta,year,month,roi
299534,Avengers: Endgame,2019-04-24,356000000,2799439100,181,82.37,26990,Adventure,84.0,94.0,78.0,2019,4,7.86359297752809
299534,Avengers: Endgame,2019-04-24,356000000,2799439100,181,82.37,26990,Science Fiction,84.0,94.0,78.0,2019,4,7.86359297752809
299534,Avengers: Endgame,2019-04-24,356000000,2799439100,181,82.37,26990,Action,84.0,94.0,78.0,2019,4,7.86359297752809
76600,Avatar: The Way of Water,2022-12-14,350000000,2353096253,192,76.10000000000001,13128,Action,75.0,76.0,67.0,2022,12,6.723132151428572
76600,Avatar: The Way of Water,2022-12-14,350000000,2353096253,192,76.10000000000001,13128,Adventure,75.0,76.0,67.0,2022,12,6.723132151428572
76600,Avatar: The Way of Water,2022-12-14,350000000,2353096253,192,76.10000000000001,13128,Science Fiction,75.0,76.0,67.0,2022,12,6.723132151428572
140607,Star Wars: The Force Awakens,2015-12-15,245000000,2068223624,136,72.55,20114,Adventure,77.0,93.0,80.0,2015,12,8.44172907755102
140607,Star Wars: The Force Awakens,2015-12-15,245000000,2068223624,136,72.55,20114,Action,77.0,93.0,80.0,2015,12,8.44172907755102
140607,Star Wars: The Force Awakens,2015-12-15,245000000,2068223624,136,72.55,20114,Science Fiction,77.0,93.0,80.0,2015,12,8.44172907755102
299536,Avengers: Infinity War,2018-04-25,300000000,2052415039,149,82.35,31197,Adventure,84.0,85.0,68.0,2018,4,6.841383463333333
299536,Avengers: Infinity War,2018-04-25,300000000,2052415039,149,82.35,31197,Action,84.0,85.0,68.0,2018,4,6.841383463333333
299536,Avengers: Infinity War,2018-04-25,300000000,2052415039,149,82.35,31197,Science Fiction,84.0,85.0,68.0,2018,4,6.841383463333333
634649,Spider-Man: No Way Home,2021-12-15,200000000,1921847111,148,79.37,21336,Action,82.0,93.0,71.0,2021,12,9.609235555
634649,Spider-Man: No Way Home,2021-12-15,200000000,1921847111,148,79.37,21336,Adventure,82.0,93.0,71.0,2021,12,9.609235555
634649,Spider-Man: No Way Home,2021-12-15,200000000,1921847111,148,79.37,21336,Science Fiction,82.0,93.0,71.0,2021,12,9.609235555
1022789,Inside Out 2,2024-06-11,200000000,1698863816,97,75.5,6293,Animation,75.0,91.0,73.0,2024,6,8.49431908
1022789,Inside Out 2,2024-06-11,200000000,1698863816,97,75.5,6293,Adventure,75.0,91.0,73.0,2024,6,8.49431908
1022789,Inside Out 2,2024-06-11,200000000,1698863816,97,75.5,6293,Comedy,75.0,91.0,73.0,2024,6,8.49431908
1022789,Inside Out 2,2024-06-11,200000000,1698863816,97,75.5,6293,Family,75.0,91.0,73.0,2024,6,8.49431908
135397,Jurassic World,2015-06-06,150000000,1671537444,124,66.99,21134,Action,69.0,72.0,59.0,2015,6,11.14358296
135397,Jurassic World,2015-06-06,150000000,1671537444,124,66.99,21134,Adventure,69.0,72.0,59.0,2015,6,11.14358296
135397,Jurassic World,2015-06-06,150000000,1671537444,124,66.99,21134,Science Fiction,69.0,72.0,59.0,2015,6,11.14358296
135397,Jurassic World,2015-06-06,150000000,1671537444,124,66.99,21134,Thriller,69.0,72.0,59.0,2015,6,11.14358296
420818,The Lion King,2019-07-12,260000000,1662020819,118,71.0,10574,Adventure,68.0,52.0,55.0,2019,7,6.3923877653846155
420818,The Lion King,2019-07-12,260000000,1662020819,118,71.0,10574,Drama,68.0,52.0,55.0,2019,7,6.3923877653846155
420818,The Lion King,2019-07-12,260000000,1662020819,118,71.0,10574,Family,68.0,52.0,55.0,2019,7,6.3923877653846155
420818,The Lion King,2019-07-12,260000000,1662020819,118,71.0,10574,Animation,68.0,52.0,55.0,2019,7,6.3923877653846155
24428,The Avengers,2012-04-25,220000000,1518815515,143,78.72,34382,Science Fiction,80.0,91.0,69.0,2012,4,6.903706886363636
24428,The Avengers,2012-04-25,220000000,1518815515,143,78.72,34382,Action,80.0,91.0,69.0,2012,4,6.903706886363636
24428,The Avengers,2012-04-25,220000000,1518815515,143,78.72,34382,Adventure,80.0,91.0,69.0,2012,4,6.903706886363636
168259,Furious 7,2015-04-01,190000000,1515400000,139,72.22,11038,Action,71.0,81.0,67.0,2015,4,7.975789473684211
168259,Furious 7,2015-04-01,190000000,1515400000,139,72.22,11038,Crime,71.0,81.0,67.0,2015,4,7.975789473684211
168259,Furious 7,2015-04-01,190000000,1515400000,139,72.22,11038,Thriller,71.0,81.0,67.0,2015,4,7.975789473684211
361743,Top Gun: Maverick,2022-05-21,170000000,1488732821,131,81.63,10395,Action,82.0,96.0,78.0,2022,5,8.757251888235293
