month,revenue,roi,movie_count,roi_adj,revenue_adj,budget_adj
Jan,103909749.34,4.38,109,4.38,134919294.97,51112117.16
Feb,128617980.78,3.67,134,3.67,165504490.18,57828169.81
Mar,159849477.22,3.72,169,3.72,207493967.01,71963247.06
Apr,230062059.97,4.4,118,4.4,296898665.53,75763765.65
May,234231841.53,3.86,144,3.86,298154428.09,97351279.07
Jun,306333940.97,4.35,148,4.35,394027334.4,102951098.79
Jul,237727187.5,4.88,146,4.88,301202698.85,89767374.85
Aug,105503822.21,3.65,149,3.65,136826588.35,52419469.76
Sep,109956080.95,3.68,185,3.68,140561994.38,49083590.0
Oct,137493678.57,4.61,184,4.61,178547842.64,59916417.65
Nov,199022311.72,3.53,165,3.53,255912514.31,79258326.92
Dec,240988931.28,3.54,160,3.54,311397785.46,91441830.05
